number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout_fc,params_hidden_size,params_lr,params_num_layers,params_weight_decay,state
0,0.6328948736190796,2026-03-07 00:06:15.015804,2026-03-07 00:06:24.742021,0 days 00:00:09.726217,32,False,0.28493564427131046,96,0.0011504753106625046,1,0.0002607024758370766,COMPLETE
1,0.6486465036869049,2026-03-07 00:06:24.742021,2026-03-07 00:06:33.777315,0 days 00:00:09.035294,32,True,0.4056937753654446,192,0.0007496501097315302,1,5.4041038546473305e-05,COMPLETE
2,0.6598750799894333,2026-03-07 00:06:33.778316,2026-03-07 00:06:46.070045,0 days 00:00:12.291729,16,True,0.39807076404450803,128,0.0007627211116577326,3,1.5679933916722995e-05,COMPLETE
3,0.7261067777872086,2026-03-07 00:06:46.074366,2026-03-07 00:06:57.362896,0 days 00:00:11.288530,16,True,0.5687496940092467,96,0.0019174238140216384,2,0.0003550304858128307,COMPLETE
4,0.6450960040092468,2026-03-07 00:06:57.362896,2026-03-07 00:07:07.343413,0 days 00:00:09.980517,32,True,0.5947547746402069,256,0.0007380901894391266,1,0.00012172847081122418,COMPLETE
5,0.6608483344316483,2026-03-07 00:07:07.343413,2026-03-07 00:07:30.699616,0 days 00:00:23.356203,16,True,0.22542334011440945,192,0.0008218411404269376,3,1.70505392602693e-05,COMPLETE
6,0.6145960167050362,2026-03-07 00:07:30.700623,2026-03-07 00:07:47.019356,0 days 00:00:16.318733,16,False,0.37101640734341984,256,0.0014355166831664403,2,0.0001326033192269654,COMPLETE
7,0.5775213837623596,2026-03-07 00:07:47.020697,2026-03-07 00:07:56.030712,0 days 00:00:09.010015,64,True,0.26448851490160175,192,0.000883171698312604,2,0.0003244160088734161,COMPLETE
8,0.6383536234498024,2026-03-07 00:07:56.031077,2026-03-07 00:08:06.244210,0 days 00:00:10.213133,16,True,0.3708431154505025,64,0.0015314309403948435,1,0.0006197015748809143,COMPLETE
9,0.6223743557929993,2026-03-07 00:08:06.246718,2026-03-07 00:08:13.841374,0 days 00:00:07.594656,32,False,0.5887128330883842,96,0.0018478138267043395,1,4.4300218067679785e-05,COMPLETE
10,0.5672444105148315,2026-03-07 00:08:13.841374,2026-03-07 00:08:21.177627,0 days 00:00:07.336253,64,False,0.2062379198633824,192,0.0005126065261429245,2,0.0009044366299969405,COMPLETE
11,0.5604378581047058,2026-03-07 00:08:21.177627,2026-03-07 00:08:28.772648,0 days 00:00:07.595021,64,False,0.21144118649403879,192,0.0005092956603864634,2,0.0008624009197392455,COMPLETE
12,0.5635786652565002,2026-03-07 00:08:28.772648,2026-03-07 00:08:36.079291,0 days 00:00:07.306643,64,False,0.21803049013508732,192,0.000502976018682016,2,0.0008000864123560979,COMPLETE
13,0.6015856266021729,2026-03-07 00:08:36.084295,2026-03-07 00:08:44.013068,0 days 00:00:07.928773,64,False,0.31556673863231977,192,0.0005101736806449998,3,0.000956890005185768,COMPLETE
14,0.5918632745742798,2026-03-07 00:08:44.015076,2026-03-07 00:08:50.399606,0 days 00:00:06.384530,64,False,0.47529180478007954,64,0.0005976695470614513,2,0.00047362414314470693,COMPLETE
15,0.5566378235816956,2026-03-07 00:08:50.399606,2026-03-07 00:08:56.729447,0 days 00:00:06.329841,64,False,0.25784940095755876,128,0.0006060991292865514,2,0.00016418807007720232,COMPLETE
16,0.5993556976318359,2026-03-07 00:08:56.729447,2026-03-07 00:09:03.074765,0 days 00:00:06.345318,64,False,0.30825190607374703,128,0.0006224813162115453,2,0.00021063979781445145,COMPLETE
17,0.6291643381118774,2026-03-07 00:09:03.074765,2026-03-07 00:09:09.573494,0 days 00:00:06.498729,64,False,0.25752003547403185,128,0.0006084322301520073,3,5.1766970868647086e-05,COMPLETE
18,0.6353985071182251,2026-03-07 00:09:09.573494,2026-03-07 00:09:16.173808,0 days 00:00:06.600314,64,False,0.46661425572308757,128,0.001022469123512183,3,0.00017187644136299428,COMPLETE
19,0.5783790349960327,2026-03-07 00:09:16.173808,2026-03-07 00:09:22.517690,0 days 00:00:06.343882,64,False,0.32813589410316674,128,0.0006535553617202191,2,7.593962822730044e-05,COMPLETE
20,0.5748306512832642,2026-03-07 00:09:22.519697,2026-03-07 00:09:28.979285,0 days 00:00:06.459588,64,False,0.24724162794039434,64,0.001046075868226771,2,2.9139965213923747e-05,COMPLETE
21,0.5860438346862793,2026-03-07 00:09:28.979285,2026-03-07 00:09:36.349320,0 days 00:00:07.370035,64,False,0.20389953449292708,192,0.0005074631032107568,2,0.0007071235660214893,COMPLETE
22,0.5717949867248535,2026-03-07 00:09:36.349320,2026-03-07 00:09:43.574603,0 days 00:00:07.225283,64,False,0.23415414758814576,192,0.0005606655437315243,2,0.000456798339858006,COMPLETE
23,0.5835800766944885,2026-03-07 00:09:43.574603,2026-03-07 00:09:50.941774,0 days 00:00:07.367171,64,False,0.2813509735002298,192,0.0006602600853014809,2,0.0005102974633338672,COMPLETE
24,0.6003957390785217,2026-03-07 00:09:50.943780,2026-03-07 00:09:58.691502,0 days 00:00:07.747722,64,False,0.20499671813684173,256,0.0005606143039208957,2,8.253401191058713e-05,COMPLETE
25,0.5465186834335327,2026-03-07 00:09:58.691502,2026-03-07 00:10:05.063082,0 days 00:00:06.371580,64,False,0.28781881085709365,128,0.000692880080092548,2,0.0007435641936722292,COMPLETE
26,0.6153706312179565,2026-03-07 00:10:05.063082,2026-03-07 00:10:11.425889,0 days 00:00:06.362807,64,False,0.340348559121309,128,0.0007039713130460681,1,0.00019204614882009706,COMPLETE
27,0.6715272665023804,2026-03-07 00:10:11.426888,2026-03-07 00:10:17.944504,0 days 00:00:06.517616,64,False,0.29234960366730195,128,0.0009085201380122303,3,0.0003432578485675455,COMPLETE
28,0.5588368773460388,2026-03-07 00:10:17.946944,2026-03-07 00:10:24.469426,0 days 00:00:06.522482,64,False,0.2539656737433916,128,0.0005738636083165273,2,0.0006322484087877527,COMPLETE
29,0.6557473540306091,2026-03-07 00:10:24.474443,2026-03-07 00:10:31.909623,0 days 00:00:07.435180,32,False,0.273094929686145,128,0.0013017828530155636,1,0.00025776889012470795,COMPLETE
30,0.6395148634910583,2026-03-07 00:10:31.909623,2026-03-07 00:10:39.409729,0 days 00:00:07.500106,32,False,0.3535581575553377,128,0.0008477667899180839,2,0.0005249062074948534,COMPLETE
31,0.5359658598899841,2026-03-07 00:10:39.409729,2026-03-07 00:10:45.734598,0 days 00:00:06.324869,64,False,0.24893134739955505,128,0.0005723774874539059,2,0.0006682832399613436,COMPLETE
32,0.5540298819541931,2026-03-07 00:10:45.736853,2026-03-07 00:10:52.279947,0 days 00:00:06.543094,64,False,0.3014106781181114,128,0.0006895376650463097,2,0.0006740077138873708,COMPLETE
33,0.5735872387886047,2026-03-07 00:10:52.279947,2026-03-07 00:10:58.617467,0 days 00:00:06.337520,64,False,0.29859391168547766,128,0.0007069628654312206,2,0.0002753026748703282,COMPLETE
34,0.5666317343711853,2026-03-07 00:10:58.618465,2026-03-07 00:11:04.944483,0 days 00:00:06.326018,64,False,0.4218677793491503,128,0.0007999201015144507,2,0.0004091589190367353,COMPLETE
35,0.6925514191389084,2026-03-07 00:11:04.944483,2026-03-07 00:11:16.009673,0 days 00:00:11.065190,16,True,0.28108559095574975,96,0.00067518835370457,2,0.0006355717300587766,COMPLETE
36,0.6617398262023926,2026-03-07 00:11:16.013132,2026-03-07 00:11:23.459557,0 days 00:00:07.446425,32,False,0.2445118510253882,128,0.0007709438786521813,1,1.1172792677993235e-05,COMPLETE
37,0.6397790312767029,2026-03-07 00:11:23.459557,2026-03-07 00:11:30.491345,0 days 00:00:07.031788,64,True,0.4230080488698221,128,0.0007270321093838664,3,0.00014594849453796374,COMPLETE
38,0.694715216755867,2026-03-07 00:11:30.491345,2026-03-07 00:11:40.426251,0 days 00:00:09.934906,16,False,0.32584749367112253,128,0.000635210494819818,2,0.00010046404318728428,COMPLETE
39,0.5789244174957275,2026-03-07 00:11:40.426251,2026-03-07 00:11:48.089400,0 days 00:00:07.663149,64,True,0.3798822222895725,256,0.0011374382663658202,1,0.0002636427249960702,COMPLETE
40,0.6454097032546997,2026-03-07 00:11:48.089400,2026-03-07 00:11:55.981395,0 days 00:00:07.891995,32,False,0.3529110166307394,96,0.0009372767967372874,2,3.0692276990977474e-05,COMPLETE
41,0.5472673177719116,2026-03-07 00:11:55.981395,2026-03-07 00:12:02.284628,0 days 00:00:06.303233,64,False,0.25760236527445457,128,0.000571825245001968,2,0.000597008698086992,COMPLETE
42,0.5322481989860535,2026-03-07 00:12:02.284628,2026-03-07 00:12:08.589852,0 days 00:00:06.305224,64,False,0.2642125182222329,128,0.0005801117878334535,2,0.0003929525712394734,COMPLETE
43,0.5535664558410645,2026-03-07 00:12:08.589852,2026-03-07 00:12:14.979489,0 days 00:00:06.389637,64,False,0.23107675198595026,128,0.0005555119174938239,2,0.0007493354164669904,COMPLETE
44,0.6910587251186371,2026-03-07 00:12:14.984623,2026-03-07 00:12:25.184697,0 days 00:00:10.200074,16,False,0.2407594191786389,128,0.0005414743512458458,2,0.0009955122484166111,COMPLETE
45,0.5864469408988953,2026-03-07 00:12:25.184697,2026-03-07 00:12:32.054675,0 days 00:00:06.869978,64,True,0.2299139568939985,128,0.0005432314862019497,2,0.00038526109510965683,COMPLETE
46,0.5918272733688354,2026-03-07 00:12:32.054675,2026-03-07 00:12:38.565045,0 days 00:00:06.510370,64,False,0.5354495778526935,64,0.0005814264808640606,2,0.0005467048490397446,COMPLETE
47,0.6232924461364746,2026-03-07 00:12:38.565045,2026-03-07 00:12:46.259658,0 days 00:00:07.694613,64,False,0.22174486823589226,256,0.0005467726178152155,2,0.0007624453848441413,COMPLETE
48,0.5738553404808044,2026-03-07 00:12:46.259658,2026-03-07 00:12:52.596828,0 days 00:00:06.337170,64,False,0.27103836135531356,128,0.0006396167612143286,2,0.0008361523831451368,COMPLETE
49,0.6811633482575417,2026-03-07 00:12:52.597831,2026-03-07 00:13:03.229632,0 days 00:00:10.631801,16,False,0.2610502422623877,96,0.0005910874633209885,2,0.0004101160719059864,COMPLETE
50,0.6190944314002991,2026-03-07 00:13:03.235164,2026-03-07 00:13:09.861534,0 days 00:00:06.626370,64,True,0.22680021071220743,128,0.000752222801223998,2,0.0005731189011538455,COMPLETE
51,0.5535497665405273,2026-03-07 00:13:09.861534,2026-03-07 00:13:16.179666,0 days 00:00:06.318132,64,False,0.3001089484294017,128,0.0006838238556018706,2,0.000695894683302227,COMPLETE
52,0.548271894454956,2026-03-07 00:13:16.179666,2026-03-07 00:13:22.515091,0 days 00:00:06.335425,64,False,0.28889212474630876,128,0.0005327002936978354,2,0.00031987073574959464,COMPLETE
53,0.5479995608329773,2026-03-07 00:13:22.517865,2026-03-07 00:13:28.876190,0 days 00:00:06.358325,64,False,0.32134642259243223,128,0.000527156823880513,2,0.00032974698312404773,COMPLETE
54,0.5370975732803345,2026-03-07 00:13:28.877191,2026-03-07 00:13:35.254617,0 days 00:00:06.377426,64,False,0.3222295225549877,128,0.0005339959438768875,2,0.0003093815587763918,COMPLETE
55,0.5311078429222107,2026-03-07 00:13:35.255624,2026-03-07 00:13:41.579586,0 days 00:00:06.323962,64,False,0.317825312449099,128,0.0006194810287964309,2,0.00021650769015723622,COMPLETE
56,0.610358715057373,2026-03-07 00:13:41.581606,2026-03-07 00:13:48.172756,0 days 00:00:06.591150,64,False,0.34017505672347725,64,0.000614779200745867,2,0.00022094890194263996,COMPLETE
