clip_id,mean_loss,max_loss,conf_error,error_freq,cls,split,video_id,rule_high_loss,rule_conf_error,rule_error_freq,n_rules_triggered,decision
Robbery_007,2.0209808468818666,3.49084734916687,1.0,0.25,Robbery,val,Robbery_007,True,True,False,2,filter
Robbery_085,2.010256850719452,3.6530497074127197,1.0,0.25,Robbery,val,Robbery_085,True,True,False,2,filter
Robbery_129,1.8909755200147629,3.315124988555908,1.0,0.25,Robbery,val,Robbery_129,True,True,False,2,filter
Robbery_146,1.8217551678419113,3.4362876415252686,1.0,0.25,Robbery,val,Robbery_146,True,True,False,2,filter
Normal_948,1.7429567873477936,3.588021755218506,1.0,0.25,Normal,val,Normal_948,True,True,False,2,filter
Robbery_137,1.7399299196898936,3.5071194171905518,1.0,0.25,Robbery,val,Robbery_137,True,True,False,2,filter
Robbery_069,1.596585676074028,2.4054346084594727,1.0,0.25,Robbery,val,Robbery_069,True,True,False,2,filter
Normal_177,1.475179787352681,3.4042015075683594,1.0,0.25,Normal,val,Normal_177,True,True,False,2,filter
Robbery_018,1.1023247385397554,3.056126356124878,1.0,0.25,Robbery,val,Robbery_018,True,True,False,2,filter
Robbery_074,1.0892630070447922,1.9094600677490234,1.0,0.25,Robbery,val,Robbery_074,True,True,False,2,filter
Robbery_128,1.0647410064935685,2.579854965209961,1.0,0.25,Robbery,val,Robbery_128,True,True,False,2,filter
Normal_570,1.0639029785990715,2.3917806148529053,1.0,0.25,Normal,val,Normal_570,True,True,False,2,filter
