clip_id,mean_loss,max_loss,conf_error,error_freq,cls,split,video_id,rule_high_loss,rule_conf_error,rule_error_freq,n_rules_triggered,decision
Robbery_069,3.5305833454642976,7.165065288543701,1.0,0.25,Robbery,val,Robbery_069,True,True,False,2,filter
Robbery_085,1.9706748255661555,3.945601463317871,1.0,0.25,Robbery,val,Robbery_085,True,True,False,2,filter
Robbery_137,1.7157964770283018,3.815383195877075,1.0,0.25,Robbery,val,Robbery_137,True,True,False,2,filter
Robbery_146,1.2475539233003343,2.6938560009002686,1.0,0.25,Robbery,val,Robbery_146,True,True,False,2,filter
Normal_177,1.243488562958581,3.1127779483795166,1.0,0.25,Normal,val,Normal_177,True,True,False,2,filter
Robbery_007,0.9903915151953697,1.748600959777832,1.0,0.25,Robbery,val,Robbery_007,True,True,False,2,filter
Robbery_018,0.8518863687557834,2.605881929397583,1.0,0.25,Robbery,val,Robbery_018,True,True,False,2,filter
Robbery_075,0.8227756332073893,2.3700380325317383,1.0,0.25,Robbery,val,Robbery_075,True,True,False,2,filter
Normal_570,0.7960854364292962,2.0341482162475586,1.0,0.25,Normal,val,Normal_570,True,True,False,2,filter
Robbery_129,0.7950663832681519,1.4097660779953003,1.0,0.25,Robbery,val,Robbery_129,True,True,False,2,filter
Robbery_074,0.7088206687143871,1.062018632888794,1.0,0.25,Robbery,val,Robbery_074,True,True,False,2,filter
