clip_id,mean_loss,max_loss,conf_error,error_freq,cls,split,video_id,rule_high_loss,rule_conf_error,rule_error_freq,n_rules_triggered,decision
Robbery_069,3.51008777320385,6.105782508850098,1.0,0.25,Robbery,val,Robbery_069,True,True,False,2,filter
Robbery_007,3.451098043471575,6.0989789962768555,1.0,0.25,Robbery,val,Robbery_007,True,True,False,2,filter
Robbery_085,3.4195770025253296,6.044623374938965,1.0,0.25,Robbery,val,Robbery_085,True,True,False,2,filter
Robbery_018,3.0107031613588333,5.960911750793457,1.0,0.25,Robbery,val,Robbery_018,True,True,False,2,filter
Robbery_129,2.940605528652668,5.922501087188721,1.0,0.25,Robbery,val,Robbery_129,True,True,False,2,filter
Robbery_137,2.802112344186753,5.95496129989624,1.0,0.25,Robbery,val,Robbery_137,True,True,False,2,filter
Robbery_075,2.788809932768345,5.944511413574219,1.0,0.25,Robbery,val,Robbery_075,True,True,False,2,filter
Robbery_124,2.648852836340666,5.361963272094727,0.36075920416624285,0.25,Robbery,train,Robbery_124,True,True,False,2,filter
Robbery_146,2.213103676214814,5.9321746826171875,1.0,0.25,Robbery,val,Robbery_146,True,True,False,2,filter
Robbery_005,2.1885808911174536,5.897028923034668,1.0,0.25,Robbery,val,Robbery_005,True,True,False,2,filter
Robbery_128,1.7008966328576207,5.7336344718933105,1.0,0.25,Robbery,val,Robbery_128,True,True,False,2,filter
Robbery_109,1.6496097696945071,5.8180036544799805,1.0,0.25,Robbery,val,Robbery_109,True,True,False,2,filter
Robbery_004,1.563251907704398,5.892528057098389,1.0,0.25,Robbery,val,Robbery_004,True,True,False,2,filter
Robbery_020,1.0634692283783806,5.692946910858154,1.0,0.25,Robbery,val,Robbery_020,True,True,False,2,filter
