clip_id,mean_loss,max_loss,conf_error,error_freq,cls,split,video_id,rule_high_loss,rule_conf_error,rule_error_freq,n_rules_triggered,decision
Robbery_069,4.457309593172634,8.247572898864746,1.0,0.23529411764705882,Robbery,val,Robbery_069,True,True,False,2,filter
Robbery_007,4.361152508679559,8.246538162231445,1.0,0.23529411764705882,Robbery,val,Robbery_007,True,True,False,2,filter
Robbery_129,3.9071655098129723,8.072273254394531,1.0,0.23529411764705882,Robbery,val,Robbery_129,True,True,False,2,filter
Robbery_085,3.8814640781458687,8.042253494262695,1.0,0.23529411764705882,Robbery,val,Robbery_085,True,True,False,2,filter
Robbery_109,2.8402871436932506,7.115486145019531,1.0,0.23529411764705882,Robbery,val,Robbery_109,True,True,False,2,filter
Robbery_075,2.807375819696223,7.223581314086914,1.0,0.23529411764705882,Robbery,val,Robbery_075,True,True,False,2,filter
Robbery_137,2.544276195633061,7.348477840423584,1.0,0.23529411764705882,Robbery,val,Robbery_137,True,True,False,2,filter
Robbery_146,2.2282906227252064,7.854201316833496,1.0,0.23529411764705882,Robbery,val,Robbery_146,True,True,False,2,filter
Normal_570,1.60563598069198,4.878508567810059,1.0,0.23529411764705882,Normal,val,Normal_570,True,True,False,2,filter
Normal_177,1.4291093440431937,3.531891107559204,1.0,0.23529411764705882,Normal,val,Normal_177,True,True,False,2,filter
Robbery_018,1.3495312552241718,6.982424736022949,1.0,0.23529411764705882,Robbery,val,Robbery_018,True,True,False,2,filter
Normal_017,0.7982112013406175,3.836765766143799,1.0,0.23529411764705882,Normal,val,Normal_017,True,True,False,2,filter
Normal_207,0.7608834162734531,3.817446708679199,1.0,0.23529411764705882,Normal,val,Normal_207,True,True,False,2,filter
Normal_209,0.6732849973897614,2.3915610313415527,1.0,0.23529411764705882,Normal,val,Normal_209,True,True,False,2,filter
