number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout_fc,params_hidden_size,params_lr,params_num_layers,params_weight_decay,user_attrs_best_val_auc,user_attrs_seed,state
0,0.6409041881561279,2026-03-09 20:52:03.609205,2026-03-09 20:52:16.530322,0 days 00:00:12.921117,32,False,0.28493564427131046,96,0.0011504753106625046,1,0.0002607024758370766,0.3032258064516129,42,COMPLETE
1,0.6247272789478302,2026-03-09 20:52:16.530322,2026-03-09 20:52:24.487182,0 days 00:00:07.956860,32,True,0.4056937753654446,192,0.0007496501097315302,1,5.4041038546473305e-05,0.8258064516129031,43,COMPLETE
2,0.6399141177535057,2026-03-09 20:52:24.487182,2026-03-09 20:52:34.721772,0 days 00:00:10.234590,16,True,0.39807076404450803,128,0.0007627211116577326,3,1.5679933916722995e-05,0.7999999999999999,44,COMPLETE
3,0.6023194193840027,2026-03-09 20:52:34.721772,2026-03-09 20:52:44.148340,0 days 00:00:09.426568,16,True,0.5687496940092467,96,0.0019174238140216384,2,0.0003550304858128307,0.7774193548387096,45,COMPLETE
4,0.5723595917224884,2026-03-09 20:52:44.148340,2026-03-09 20:52:53.321172,0 days 00:00:09.172832,32,True,0.5947547746402069,256,0.0007380901894391266,1,0.00012172847081122418,0.8209677419354839,46,COMPLETE
5,0.5976048558950424,2026-03-09 20:52:53.323177,2026-03-09 20:53:12.343666,0 days 00:00:19.020489,16,True,0.22542334011440945,192,0.0008218411404269376,3,1.70505392602693e-05,0.8241935483870968,47,COMPLETE
6,0.6269042938947678,2026-03-09 20:53:12.343666,2026-03-09 20:53:25.871614,0 days 00:00:13.527948,16,False,0.37101640734341984,256,0.0014355166831664403,2,0.0001326033192269654,0.7951612903225806,48,COMPLETE
7,0.5290048122406006,2026-03-09 20:53:25.871614,2026-03-09 20:53:34.705522,0 days 00:00:08.833908,64,True,0.26448851490160175,192,0.000883171698312604,2,0.0003244160088734161,0.7983870967741936,49,COMPLETE
8,0.6006457731127739,2026-03-09 20:53:34.705522,2026-03-09 20:53:43.432990,0 days 00:00:08.727468,16,True,0.3708431154505025,64,0.0015314309403948435,1,0.0006197015748809143,0.8403225806451613,50,COMPLETE
9,0.5865026563405991,2026-03-09 20:53:43.432990,2026-03-09 20:53:49.967988,0 days 00:00:06.534998,32,False,0.5887128330883842,96,0.0018478138267043395,1,4.4300218067679785e-05,0.8161290322580645,51,COMPLETE
10,0.5846100449562073,2026-03-09 20:53:49.967988,2026-03-09 20:53:56.864179,0 days 00:00:06.896191,64,False,0.2062379198633824,192,0.0005126065261429245,2,0.0009044366299969405,0.7887096774193549,52,COMPLETE
11,0.4834650754928589,2026-03-09 20:53:56.864179,2026-03-09 20:54:05.404782,0 days 00:00:08.540603,64,True,0.4973785906356774,256,0.0005583048485797585,2,0.00013666020502307137,0.8193548387096774,53,COMPLETE
