class,directoryname,directorypath,numclips
Normal,Normal_001,data/interim/clips_original_04/Normal/Normal_001,67
Normal,Normal_004,data/interim/clips_original_04/Normal/Normal_004,113
Normal,Normal_007,data/interim/clips_original_04/Normal/Normal_007,122
Normal,Normal_008,data/interim/clips_original_04/Normal/Normal_008,180
Normal,Normal_012,data/interim/clips_original_04/Normal/Normal_012,180
Normal,Normal_015,data/interim/clips_original_04/Normal/Normal_015,59
Normal,Normal_017,data/interim/clips_original_04/Normal/Normal_017,105
Normal,Normal_020,data/interim/clips_original_04/Normal/Normal_020,59
Normal,Normal_021,data/interim/clips_original_04/Normal/Normal_021,180
Normal,Normal_023,data/interim/clips_original_04/Normal/Normal_023,180
Normal,Normal_026,data/interim/clips_original_04/Normal/Normal_026,180
Normal,Normal_028,data/interim/clips_original_04/Normal/Normal_028,180
Normal,Normal_032,data/interim/clips_original_04/Normal/Normal_032,103
Normal,Normal_035,data/interim/clips_original_04/Normal/Normal_035,180
Normal,Normal_037,data/interim/clips_original_04/Normal/Normal_037,55
Normal,Normal_038,data/interim/clips_original_04/Normal/Normal_038,180
Normal,Normal_039,data/interim/clips_original_04/Normal/Normal_039,180
Normal,Normal_043,data/interim/clips_original_04/Normal/Normal_043,180
Normal,Normal_046,data/interim/clips_original_04/Normal/Normal_046,180
Normal,Normal_047,data/interim/clips_original_04/Normal/Normal_047,180
Normal,Normal_049,data/interim/clips_original_04/Normal/Normal_049,180
Normal,Normal_052,data/interim/clips_original_04/Normal/Normal_052,39
Normal,Normal_054,data/interim/clips_original_04/Normal/Normal_054,180
Normal,Normal_057,data/interim/clips_original_04/Normal/Normal_057,180
Normal,Normal_058,data/interim/clips_original_04/Normal/Normal_058,122
Normal,Normal_061,data/interim/clips_original_04/Normal/Normal_061,180
Normal,Normal_064,data/interim/clips_original_04/Normal/Normal_064,180
Normal,Normal_066,data/interim/clips_original_04/Normal/Normal_066,125
Normal,Normal_069,data/interim/clips_original_04/Normal/Normal_069,114
Normal,Normal_080,data/interim/clips_original_04/Normal/Normal_080,180
Normal,Normal_083,data/interim/clips_original_04/Normal/Normal_083,72
Normal,Normal_085,data/interim/clips_original_04/Normal/Normal_085,180
Normal,Normal_086,data/interim/clips_original_04/Normal/Normal_086,180
Normal,Normal_092,data/interim/clips_original_04/Normal/Normal_092,180
Normal,Normal_096,data/interim/clips_original_04/Normal/Normal_096,96
Normal,Normal_099,data/interim/clips_original_04/Normal/Normal_099,180
Normal,Normal_100,data/interim/clips_original_04/Normal/Normal_100,77
Normal,Normal_109,data/interim/clips_original_04/Normal/Normal_109,180
Normal,Normal_112,data/interim/clips_original_04/Normal/Normal_112,101
Normal,Normal_115,data/interim/clips_original_04/Normal/Normal_115,36
Normal,Normal_123,data/interim/clips_original_04/Normal/Normal_123,180
Normal,Normal_127,data/interim/clips_original_04/Normal/Normal_127,180
Normal,Normal_130,data/interim/clips_original_04/Normal/Normal_130,180
Normal,Normal_135,data/interim/clips_original_04/Normal/Normal_135,180
Normal,Normal_142,data/interim/clips_original_04/Normal/Normal_142,180
Normal,Normal_143,data/interim/clips_original_04/Normal/Normal_143,180
Normal,Normal_144,data/interim/clips_original_04/Normal/Normal_144,180
Normal,Normal_145,data/interim/clips_original_04/Normal/Normal_145,180
Normal,Normal_146,data/interim/clips_original_04/Normal/Normal_146,101
Normal,Normal_150,data/interim/clips_original_04/Normal/Normal_150,107
Normal,Normal_151,data/interim/clips_original_04/Normal/Normal_151,180
Normal,Normal_152,data/interim/clips_original_04/Normal/Normal_152,180
Normal,Normal_157,data/interim/clips_original_04/Normal/Normal_157,24
Normal,Normal_158,data/interim/clips_original_04/Normal/Normal_158,66
Normal,Normal_160,data/interim/clips_original_04/Normal/Normal_160,180
Normal,Normal_162,data/interim/clips_original_04/Normal/Normal_162,145
Normal,Normal_163,data/interim/clips_original_04/Normal/Normal_163,180
Normal,Normal_166,data/interim/clips_original_04/Normal/Normal_166,180
Normal,Normal_167,data/interim/clips_original_04/Normal/Normal_167,180
Normal,Normal_172,data/interim/clips_original_04/Normal/Normal_172,180
Normal,Normal_173,data/interim/clips_original_04/Normal/Normal_173,74
Normal,Normal_174,data/interim/clips_original_04/Normal/Normal_174,114
Normal,Normal_177,data/interim/clips_original_04/Normal/Normal_177,180
Normal,Normal_180,data/interim/clips_original_04/Normal/Normal_180,180
Normal,Normal_181,data/interim/clips_original_04/Normal/Normal_181,180
Normal,Normal_199,data/interim/clips_original_04/Normal/Normal_199,180
Normal,Normal_201,data/interim/clips_original_04/Normal/Normal_201,180
Normal,Normal_205,data/interim/clips_original_04/Normal/Normal_205,180
Normal,Normal_206,data/interim/clips_original_04/Normal/Normal_206,180
Normal,Normal_207,data/interim/clips_original_04/Normal/Normal_207,180
Normal,Normal_209,data/interim/clips_original_04/Normal/Normal_209,78
Normal,Normal_211,data/interim/clips_original_04/Normal/Normal_211,180
Normal,Normal_213,data/interim/clips_original_04/Normal/Normal_213,180
Normal,Normal_214,data/interim/clips_original_04/Normal/Normal_214,180
Normal,Normal_234,data/interim/clips_original_04/Normal/Normal_234,180
Normal,Normal_237,data/interim/clips_original_04/Normal/Normal_237,180
Normal,Normal_239,data/interim/clips_original_04/Normal/Normal_239,180
Normal,Normal_246,data/interim/clips_original_04/Normal/Normal_246,180
Normal,Normal_247,data/interim/clips_original_04/Normal/Normal_247,180
Normal,Normal_253,data/interim/clips_original_04/Normal/Normal_253,63
Normal,Normal_255,data/interim/clips_original_04/Normal/Normal_255,180
Normal,Normal_283,data/interim/clips_original_04/Normal/Normal_283,180
Normal,Normal_289,data/interim/clips_original_04/Normal/Normal_289,106
Normal,Normal_299,data/interim/clips_original_04/Normal/Normal_299,176
Normal,Normal_303,data/interim/clips_original_04/Normal/Normal_303,180
Normal,Normal_305,data/interim/clips_original_04/Normal/Normal_305,180
Normal,Normal_306,data/interim/clips_original_04/Normal/Normal_306,180
Normal,Normal_312,data/interim/clips_original_04/Normal/Normal_312,156
Normal,Normal_313,data/interim/clips_original_04/Normal/Normal_313,162
Normal,Normal_314,data/interim/clips_original_04/Normal/Normal_314,140
Normal,Normal_317,data/interim/clips_original_04/Normal/Normal_317,115
Normal,Normal_318,data/interim/clips_original_04/Normal/Normal_318,161
Normal,Normal_323,data/interim/clips_original_04/Normal/Normal_323,180
Normal,Normal_335,data/interim/clips_original_04/Normal/Normal_335,180
Normal,Normal_341,data/interim/clips_original_04/Normal/Normal_341,110
Normal,Normal_342,data/interim/clips_original_04/Normal/Normal_342,180
Normal,Normal_344,data/interim/clips_original_04/Normal/Normal_344,25
Normal,Normal_345,data/interim/clips_original_04/Normal/Normal_345,25
Normal,Normal_346,data/interim/clips_original_04/Normal/Normal_346,180
Normal,Normal_349,data/interim/clips_original_04/Normal/Normal_349,180
Normal,Normal_350,data/interim/clips_original_04/Normal/Normal_350,180
Normal,Normal_353,data/interim/clips_original_04/Normal/Normal_353,149
Normal,Normal_354,data/interim/clips_original_04/Normal/Normal_354,180
Normal,Normal_360,data/interim/clips_original_04/Normal/Normal_360,122
Normal,Normal_361,data/interim/clips_original_04/Normal/Normal_361,176
Normal,Normal_365,data/interim/clips_original_04/Normal/Normal_365,180
Normal,Normal_370,data/interim/clips_original_04/Normal/Normal_370,180
Normal,Normal_371,data/interim/clips_original_04/Normal/Normal_371,180
Normal,Normal_375,data/interim/clips_original_04/Normal/Normal_375,180
Normal,Normal_399,data/interim/clips_original_04/Normal/Normal_399,180
Normal,Normal_401,data/interim/clips_original_04/Normal/Normal_401,180
Normal,Normal_402,data/interim/clips_original_04/Normal/Normal_402,71
Normal,Normal_403,data/interim/clips_original_04/Normal/Normal_403,50
Normal,Normal_411,data/interim/clips_original_04/Normal/Normal_411,114
Normal,Normal_416,data/interim/clips_original_04/Normal/Normal_416,167
Normal,Normal_417,data/interim/clips_original_04/Normal/Normal_417,133
Normal,Normal_439,data/interim/clips_original_04/Normal/Normal_439,180
Normal,Normal_445,data/interim/clips_original_04/Normal/Normal_445,180
Normal,Normal_446,data/interim/clips_original_04/Normal/Normal_446,59
Normal,Normal_450,data/interim/clips_original_04/Normal/Normal_450,180
Normal,Normal_452,data/interim/clips_original_04/Normal/Normal_452,54
Normal,Normal_453,data/interim/clips_original_04/Normal/Normal_453,180
Normal,Normal_454,data/interim/clips_original_04/Normal/Normal_454,180
Normal,Normal_455,data/interim/clips_original_04/Normal/Normal_455,70
Normal,Normal_456,data/interim/clips_original_04/Normal/Normal_456,180
Normal,Normal_457,data/interim/clips_original_04/Normal/Normal_457,180
Normal,Normal_458,data/interim/clips_original_04/Normal/Normal_458,180
Normal,Normal_459,data/interim/clips_original_04/Normal/Normal_459,180
Normal,Normal_460,data/interim/clips_original_04/Normal/Normal_460,180
Normal,Normal_465,data/interim/clips_original_04/Normal/Normal_465,180
Normal,Normal_498,data/interim/clips_original_04/Normal/Normal_498,180
Normal,Normal_508,data/interim/clips_original_04/Normal/Normal_508,176
Normal,Normal_509,data/interim/clips_original_04/Normal/Normal_509,86
Normal,Normal_512,data/interim/clips_original_04/Normal/Normal_512,180
Normal,Normal_523,data/interim/clips_original_04/Normal/Normal_523,51
Normal,Normal_530,data/interim/clips_original_04/Normal/Normal_530,180
Normal,Normal_547,data/interim/clips_original_04/Normal/Normal_547,180
Normal,Normal_566,data/interim/clips_original_04/Normal/Normal_566,180
Normal,Normal_570,data/interim/clips_original_04/Normal/Normal_570,104
Normal,Normal_579,data/interim/clips_original_04/Normal/Normal_579,180
Normal,Normal_585,data/interim/clips_original_04/Normal/Normal_585,180
Normal,Normal_597,data/interim/clips_original_04/Normal/Normal_597,180
Normal,Normal_598,data/interim/clips_original_04/Normal/Normal_598,180
Normal,Normal_599,data/interim/clips_original_04/Normal/Normal_599,180
Normal,Normal_605,data/interim/clips_original_04/Normal/Normal_605,180
Normal,Normal_612,data/interim/clips_original_04/Normal/Normal_612,180
Normal,Normal_613,data/interim/clips_original_04/Normal/Normal_613,180
Normal,Normal_619,data/interim/clips_original_04/Normal/Normal_619,180
Normal,Normal_620,data/interim/clips_original_04/Normal/Normal_620,180
Normal,Normal_641,data/interim/clips_original_04/Normal/Normal_641,180
Normal,Normal_654,data/interim/clips_original_04/Normal/Normal_654,180
Normal,Normal_666,data/interim/clips_original_04/Normal/Normal_666,180
Normal,Normal_670,data/interim/clips_original_04/Normal/Normal_670,180
Normal,Normal_674,data/interim/clips_original_04/Normal/Normal_674,180
Normal,Normal_677,data/interim/clips_original_04/Normal/Normal_677,180
Normal,Normal_678,data/interim/clips_original_04/Normal/Normal_678,180
Normal,Normal_681,data/interim/clips_original_04/Normal/Normal_681,180
Normal,Normal_682,data/interim/clips_original_04/Normal/Normal_682,180
Normal,Normal_687,data/interim/clips_original_04/Normal/Normal_687,180
Normal,Normal_688,data/interim/clips_original_04/Normal/Normal_688,180
Normal,Normal_689,data/interim/clips_original_04/Normal/Normal_689,180
Normal,Normal_694,data/interim/clips_original_04/Normal/Normal_694,180
Normal,Normal_695,data/interim/clips_original_04/Normal/Normal_695,180
Normal,Normal_699,data/interim/clips_original_04/Normal/Normal_699,180
Normal,Normal_706,data/interim/clips_original_04/Normal/Normal_706,112
Normal,Normal_707,data/interim/clips_original_04/Normal/Normal_707,180
Normal,Normal_711,data/interim/clips_original_04/Normal/Normal_711,180
Normal,Normal_722,data/interim/clips_original_04/Normal/Normal_722,180
Normal,Normal_726,data/interim/clips_original_04/Normal/Normal_726,180
Normal,Normal_745,data/interim/clips_original_04/Normal/Normal_745,37
Normal,Normal_753,data/interim/clips_original_04/Normal/Normal_753,109
Normal,Normal_754,data/interim/clips_original_04/Normal/Normal_754,180
Normal,Normal_758,data/interim/clips_original_04/Normal/Normal_758,180
Normal,Normal_759,data/interim/clips_original_04/Normal/Normal_759,110
Normal,Normal_772,data/interim/clips_original_04/Normal/Normal_772,165
Normal,Normal_795,data/interim/clips_original_04/Normal/Normal_795,180
Normal,Normal_801,data/interim/clips_original_04/Normal/Normal_801,180
Normal,Normal_819,data/interim/clips_original_04/Normal/Normal_819,180
Normal,Normal_820,data/interim/clips_original_04/Normal/Normal_820,82
Normal,Normal_846,data/interim/clips_original_04/Normal/Normal_846,180
Normal,Normal_854,data/interim/clips_original_04/Normal/Normal_854,180
Normal,Normal_855,data/interim/clips_original_04/Normal/Normal_855,180
Normal,Normal_859,data/interim/clips_original_04/Normal/Normal_859,89
Normal,Normal_861,data/interim/clips_original_04/Normal/Normal_861,177
Normal,Normal_881,data/interim/clips_original_04/Normal/Normal_881,27
Normal,Normal_885,data/interim/clips_original_04/Normal/Normal_885,58
Normal,Normal_929,data/interim/clips_original_04/Normal/Normal_929,114
Normal,Normal_945,data/interim/clips_original_04/Normal/Normal_945,180
Normal,Normal_946,data/interim/clips_original_04/Normal/Normal_946,180
Normal,Normal_947,data/interim/clips_original_04/Normal/Normal_947,180
Normal,Normal_948,data/interim/clips_original_04/Normal/Normal_948,180
Normal,Normal_949,data/interim/clips_original_04/Normal/Normal_949,137
Robbery,Robbery_001,data/interim/clips_original_04/Robbery/Robbery_001,122
Robbery,Robbery_002,data/interim/clips_original_04/Robbery/Robbery_002,180
Robbery,Robbery_003,data/interim/clips_original_04/Robbery/Robbery_003,122
Robbery,Robbery_004,data/interim/clips_original_04/Robbery/Robbery_004,180
Robbery,Robbery_005,data/interim/clips_original_04/Robbery/Robbery_005,180
Robbery,Robbery_006,data/interim/clips_original_04/Robbery/Robbery_006,180
Robbery,Robbery_007,data/interim/clips_original_04/Robbery/Robbery_007,180
Robbery,Robbery_008,data/interim/clips_original_04/Robbery/Robbery_008,180
Robbery,Robbery_009,data/interim/clips_original_04/Robbery/Robbery_009,180
Robbery,Robbery_010,data/interim/clips_original_04/Robbery/Robbery_010,180
Robbery,Robbery_011,data/interim/clips_original_04/Robbery/Robbery_011,161
Robbery,Robbery_012,data/interim/clips_original_04/Robbery/Robbery_012,92
Robbery,Robbery_013,data/interim/clips_original_04/Robbery/Robbery_013,180
Robbery,Robbery_014,data/interim/clips_original_04/Robbery/Robbery_014,180
Robbery,Robbery_015,data/interim/clips_original_04/Robbery/Robbery_015,180
Robbery,Robbery_016,data/interim/clips_original_04/Robbery/Robbery_016,180
Robbery,Robbery_017,data/interim/clips_original_04/Robbery/Robbery_017,180
Robbery,Robbery_018,data/interim/clips_original_04/Robbery/Robbery_018,180
Robbery,Robbery_019,data/interim/clips_original_04/Robbery/Robbery_019,180
Robbery,Robbery_020,data/interim/clips_original_04/Robbery/Robbery_020,180
Robbery,Robbery_021,data/interim/clips_original_04/Robbery/Robbery_021,180
Robbery,Robbery_022,data/interim/clips_original_04/Robbery/Robbery_022,180
Robbery,Robbery_023,data/interim/clips_original_04/Robbery/Robbery_023,137
Robbery,Robbery_024,data/interim/clips_original_04/Robbery/Robbery_024,180
Robbery,Robbery_025,data/interim/clips_original_04/Robbery/Robbery_025,180
Robbery,Robbery_026,data/interim/clips_original_04/Robbery/Robbery_026,180
Robbery,Robbery_027,data/interim/clips_original_04/Robbery/Robbery_027,180
Robbery,Robbery_028,data/interim/clips_original_04/Robbery/Robbery_028,180
Robbery,Robbery_030,data/interim/clips_original_04/Robbery/Robbery_030,180
Robbery,Robbery_033,data/interim/clips_original_04/Robbery/Robbery_033,117
Robbery,Robbery_034,data/interim/clips_original_04/Robbery/Robbery_034,180
Robbery,Robbery_035,data/interim/clips_original_04/Robbery/Robbery_035,180
Robbery,Robbery_036,data/interim/clips_original_04/Robbery/Robbery_036,180
Robbery,Robbery_037,data/interim/clips_original_04/Robbery/Robbery_037,180
Robbery,Robbery_039,data/interim/clips_original_04/Robbery/Robbery_039,64
Robbery,Robbery_040,data/interim/clips_original_04/Robbery/Robbery_040,129
Robbery,Robbery_041,data/interim/clips_original_04/Robbery/Robbery_041,169
Robbery,Robbery_042,data/interim/clips_original_04/Robbery/Robbery_042,180
Robbery,Robbery_043,data/interim/clips_original_04/Robbery/Robbery_043,128
Robbery,Robbery_044,data/interim/clips_original_04/Robbery/Robbery_044,57
Robbery,Robbery_045,data/interim/clips_original_04/Robbery/Robbery_045,180
Robbery,Robbery_046,data/interim/clips_original_04/Robbery/Robbery_046,105
Robbery,Robbery_047,data/interim/clips_original_04/Robbery/Robbery_047,180
Robbery,Robbery_048,data/interim/clips_original_04/Robbery/Robbery_048,175
Robbery,Robbery_049,data/interim/clips_original_04/Robbery/Robbery_049,180
Robbery,Robbery_051,data/interim/clips_original_04/Robbery/Robbery_051,180
Robbery,Robbery_054,data/interim/clips_original_04/Robbery/Robbery_054,180
Robbery,Robbery_055,data/interim/clips_original_04/Robbery/Robbery_055,180
Robbery,Robbery_056,data/interim/clips_original_04/Robbery/Robbery_056,180
Robbery,Robbery_057,data/interim/clips_original_04/Robbery/Robbery_057,180
Robbery,Robbery_058,data/interim/clips_original_04/Robbery/Robbery_058,180
Robbery,Robbery_059,data/interim/clips_original_04/Robbery/Robbery_059,180
Robbery,Robbery_060,data/interim/clips_original_04/Robbery/Robbery_060,180
Robbery,Robbery_061,data/interim/clips_original_04/Robbery/Robbery_061,180
Robbery,Robbery_062,data/interim/clips_original_04/Robbery/Robbery_062,180
Robbery,Robbery_064,data/interim/clips_original_04/Robbery/Robbery_064,176
Robbery,Robbery_065,data/interim/clips_original_04/Robbery/Robbery_065,180
Robbery,Robbery_066,data/interim/clips_original_04/Robbery/Robbery_066,180
Robbery,Robbery_067,data/interim/clips_original_04/Robbery/Robbery_067,180
Robbery,Robbery_068,data/interim/clips_original_04/Robbery/Robbery_068,48
Robbery,Robbery_069,data/interim/clips_original_04/Robbery/Robbery_069,85
Robbery,Robbery_070,data/interim/clips_original_04/Robbery/Robbery_070,72
Robbery,Robbery_071,data/interim/clips_original_04/Robbery/Robbery_071,180
Robbery,Robbery_073,data/interim/clips_original_04/Robbery/Robbery_073,180
Robbery,Robbery_074,data/interim/clips_original_04/Robbery/Robbery_074,97
Robbery,Robbery_075,data/interim/clips_original_04/Robbery/Robbery_075,180
Robbery,Robbery_077,data/interim/clips_original_04/Robbery/Robbery_077,141
Robbery,Robbery_079,data/interim/clips_original_04/Robbery/Robbery_079,92
Robbery,Robbery_081,data/interim/clips_original_04/Robbery/Robbery_081,180
Robbery,Robbery_083,data/interim/clips_original_04/Robbery/Robbery_083,119
Robbery,Robbery_084,data/interim/clips_original_04/Robbery/Robbery_084,180
Robbery,Robbery_085,data/interim/clips_original_04/Robbery/Robbery_085,180
Robbery,Robbery_086,data/interim/clips_original_04/Robbery/Robbery_086,180
Robbery,Robbery_087,data/interim/clips_original_04/Robbery/Robbery_087,124
Robbery,Robbery_088,data/interim/clips_original_04/Robbery/Robbery_088,180
Robbery,Robbery_090,data/interim/clips_original_04/Robbery/Robbery_090,180
Robbery,Robbery_091,data/interim/clips_original_04/Robbery/Robbery_091,180
Robbery,Robbery_092,data/interim/clips_original_04/Robbery/Robbery_092,105
Robbery,Robbery_093,data/interim/clips_original_04/Robbery/Robbery_093,145
Robbery,Robbery_094,data/interim/clips_original_04/Robbery/Robbery_094,180
Robbery,Robbery_097,data/interim/clips_original_04/Robbery/Robbery_097,180
Robbery,Robbery_098,data/interim/clips_original_04/Robbery/Robbery_098,180
Robbery,Robbery_099,data/interim/clips_original_04/Robbery/Robbery_099,180
Robbery,Robbery_100,data/interim/clips_original_04/Robbery/Robbery_100,180
Robbery,Robbery_101,data/interim/clips_original_04/Robbery/Robbery_101,180
Robbery,Robbery_103,data/interim/clips_original_04/Robbery/Robbery_103,180
Robbery,Robbery_105,data/interim/clips_original_04/Robbery/Robbery_105,180
Robbery,Robbery_108,data/interim/clips_original_04/Robbery/Robbery_108,171
Robbery,Robbery_109,data/interim/clips_original_04/Robbery/Robbery_109,180
Robbery,Robbery_110,data/interim/clips_original_04/Robbery/Robbery_110,180
Robbery,Robbery_111,data/interim/clips_original_04/Robbery/Robbery_111,180
Robbery,Robbery_113,data/interim/clips_original_04/Robbery/Robbery_113,100
Robbery,Robbery_114,data/interim/clips_original_04/Robbery/Robbery_114,180
