class,directoryname,directorypath,numclips,split
Normal,Normal_001,data/interim/clips_original_len16_seg180_overlap_str8/Normal/Normal_001,67,val
Normal,Normal_004,data/interim/clips_original_len16_seg180_overlap_str8/Normal/Normal_004,113,test
Normal,Normal_007,data/interim/clips_original_len16_seg180_overlap_str8/Normal/Normal_007,122,train
Normal,Normal_015,data/interim/clips_original_len16_seg180_overlap_str8/Normal/Normal_015,59,val
Normal,Normal_017,data/interim/clips_original_len16_seg180_overlap_str8/Normal/Normal_017,105,val
Normal,Normal_020,data/interim/clips_original_len16_seg180_overlap_str8/Normal/Normal_020,59,train
Normal,Normal_021,data/interim/clips_original_len16_seg180_overlap_str8/Normal/Normal_021,180,train
Normal,Normal_023,data/interim/clips_original_len16_seg180_overlap_str8/Normal/Normal_023,180,train
Normal,Normal_026,data/interim/clips_original_len16_seg180_overlap_str8/Normal/Normal_026,180,val
Normal,Normal_028,data/interim/clips_original_len16_seg180_overlap_str8/Normal/Normal_028,180,val
Normal,Normal_032,data/interim/clips_original_len16_seg180_overlap_str8/Normal/Normal_032,103,train
Normal,Normal_035,data/interim/clips_original_len16_seg180_overlap_str8/Normal/Normal_035,180,val
Normal,Normal_037,data/interim/clips_original_len16_seg180_overlap_str8/Normal/Normal_037,55,test
Normal,Normal_038,data/interim/clips_original_len16_seg180_overlap_str8/Normal/Normal_038,180,val
Normal,Normal_039,data/interim/clips_original_len16_seg180_overlap_str8/Normal/Normal_039,180,train
Normal,Normal_043,data/interim/clips_original_len16_seg180_overlap_str8/Normal/Normal_043,180,train
Normal,Normal_046,data/interim/clips_original_len16_seg180_overlap_str8/Normal/Normal_046,180,val
Normal,Normal_047,data/interim/clips_original_len16_seg180_overlap_str8/Normal/Normal_047,180,train
Normal,Normal_049,data/interim/clips_original_len16_seg180_overlap_str8/Normal/Normal_049,180,test
Normal,Normal_052,data/interim/clips_original_len16_seg180_overlap_str8/Normal/Normal_052,39,test
Normal,Normal_054,data/interim/clips_original_len16_seg180_overlap_str8/Normal/Normal_054,180,train
Normal,Normal_057,data/interim/clips_original_len16_seg180_overlap_str8/Normal/Normal_057,180,train
Normal,Normal_058,data/interim/clips_original_len16_seg180_overlap_str8/Normal/Normal_058,122,train
Normal,Normal_061,data/interim/clips_original_len16_seg180_overlap_str8/Normal/Normal_061,180,train
Normal,Normal_066,data/interim/clips_original_len16_seg180_overlap_str8/Normal/Normal_066,125,train
Normal,Normal_069,data/interim/clips_original_len16_seg180_overlap_str8/Normal/Normal_069,114,train
Normal,Normal_080,data/interim/clips_original_len16_seg180_overlap_str8/Normal/Normal_080,180,train
Normal,Normal_083,data/interim/clips_original_len16_seg180_overlap_str8/Normal/Normal_083,72,train
Normal,Normal_085,data/interim/clips_original_len16_seg180_overlap_str8/Normal/Normal_085,180,train
Normal,Normal_096,data/interim/clips_original_len16_seg180_overlap_str8/Normal/Normal_096,96,train
Normal,Normal_100,data/interim/clips_original_len16_seg180_overlap_str8/Normal/Normal_100,77,train
Normal,Normal_109,data/interim/clips_original_len16_seg180_overlap_str8/Normal/Normal_109,180,test
Normal,Normal_112,data/interim/clips_original_len16_seg180_overlap_str8/Normal/Normal_112,101,val
Normal,Normal_115,data/interim/clips_original_len16_seg180_overlap_str8/Normal/Normal_115,36,train
Normal,Normal_123,data/interim/clips_original_len16_seg180_overlap_str8/Normal/Normal_123,180,val
Normal,Normal_127,data/interim/clips_original_len16_seg180_overlap_str8/Normal/Normal_127,180,val
Normal,Normal_130,data/interim/clips_original_len16_seg180_overlap_str8/Normal/Normal_130,180,train
Normal,Normal_135,data/interim/clips_original_len16_seg180_overlap_str8/Normal/Normal_135,180,train
Normal,Normal_142,data/interim/clips_original_len16_seg180_overlap_str8/Normal/Normal_142,180,train
Normal,Normal_144,data/interim/clips_original_len16_seg180_overlap_str8/Normal/Normal_144,180,train
Normal,Normal_145,data/interim/clips_original_len16_seg180_overlap_str8/Normal/Normal_145,180,val
Normal,Normal_146,data/interim/clips_original_len16_seg180_overlap_str8/Normal/Normal_146,101,test
Normal,Normal_150,data/interim/clips_original_len16_seg180_overlap_str8/Normal/Normal_150,107,train
Normal,Normal_151,data/interim/clips_original_len16_seg180_overlap_str8/Normal/Normal_151,180,test
Normal,Normal_157,data/interim/clips_original_len16_seg180_overlap_str8/Normal/Normal_157,24,test
Normal,Normal_158,data/interim/clips_original_len16_seg180_overlap_str8/Normal/Normal_158,66,train
Normal,Normal_160,data/interim/clips_original_len16_seg180_overlap_str8/Normal/Normal_160,180,test
Normal,Normal_162,data/interim/clips_original_len16_seg180_overlap_str8/Normal/Normal_162,145,train
Normal,Normal_163,data/interim/clips_original_len16_seg180_overlap_str8/Normal/Normal_163,180,train
Normal,Normal_166,data/interim/clips_original_len16_seg180_overlap_str8/Normal/Normal_166,180,test
Normal,Normal_167,data/interim/clips_original_len16_seg180_overlap_str8/Normal/Normal_167,180,test
