clip_id,mean_loss,max_loss,conf_error,error_freq,cls,split,video_id,rule_high_loss,rule_conf_error,rule_error_freq,n_rules_triggered,decision
Robbery_069,2.9356089447225844,4.527590751647949,1.0,0.2857142857142857,Robbery,val,Robbery_069,True,True,False,2,filter
Robbery_007,2.9151367800576344,4.513734340667725,1.0,0.2857142857142857,Robbery,val,Robbery_007,True,True,False,2,filter
Robbery_085,2.641176926238196,4.401913642883301,1.0,0.2857142857142857,Robbery,val,Robbery_085,True,True,False,2,filter
Robbery_129,2.0355489190135683,4.429225921630859,1.0,0.2857142857142857,Robbery,val,Robbery_129,True,True,False,2,filter
Robbery_018,1.9669426094208444,4.434385299682617,1.0,0.2857142857142857,Robbery,val,Robbery_018,True,True,False,2,filter
Robbery_075,1.5852611480014664,4.339384078979492,1.0,0.2857142857142857,Robbery,val,Robbery_075,True,True,False,2,filter
Robbery_146,1.4756227774279458,4.348841667175293,1.0,0.2857142857142857,Robbery,val,Robbery_146,True,True,False,2,filter
Normal_570,1.3669693004339933,2.695857286453247,1.0,0.2857142857142857,Normal,val,Normal_570,True,True,False,2,filter
Robbery_137,1.3515241747455937,4.1760172843933105,1.0,0.2857142857142857,Robbery,val,Robbery_137,True,True,False,2,filter
Normal_209,1.2757433567728316,2.7345590591430664,1.0,0.2857142857142857,Normal,val,Normal_209,True,True,False,2,filter
Normal_177,1.1033893755770154,2.5447535514831543,1.0,0.2857142857142857,Normal,val,Normal_177,True,True,False,2,filter
Normal_145,1.0336095388712627,2.6502394676208496,1.0,0.2857142857142857,Normal,val,Normal_145,True,True,False,2,filter
Robbery_074,1.0064086291406835,4.027379035949707,1.0,0.2857142857142857,Robbery,val,Robbery_074,True,True,False,2,filter
Normal_207,0.9801693455582219,2.643251419067383,1.0,0.2857142857142857,Normal,val,Normal_207,True,True,False,2,filter
