clip_id,mean_loss,max_loss,conf_error,error_freq,cls,split,video_id,rule_high_loss,rule_conf_error,rule_error_freq,n_rules_triggered,decision
Robbery_007,1.7632620790425468,3.2836132049560547,1.0,0.2647058823529412,Robbery,val,Robbery_007,True,True,False,2,filter
Robbery_137,1.579115037970683,3.3205740451812744,1.0,0.2647058823529412,Robbery,val,Robbery_137,True,True,False,2,filter
Robbery_085,1.5038225953193272,3.251810073852539,1.0,0.2647058823529412,Robbery,val,Robbery_085,True,True,False,2,filter
Robbery_069,1.3557490934343899,2.4300954341888428,1.0,0.2647058823529412,Robbery,val,Robbery_069,True,True,False,2,filter
Normal_177,1.2443450120661188,4.0969343185424805,1.0,0.2647058823529412,Normal,val,Normal_177,True,True,False,2,filter
Normal_207,1.097619417726117,4.46639347076416,1.0,0.2647058823529412,Normal,val,Normal_207,True,True,False,2,filter
Robbery_129,1.059553973869804,3.1839065551757812,1.0,0.2647058823529412,Robbery,val,Robbery_129,True,True,False,2,filter
Normal_570,1.0518656302900875,3.2930073738098145,1.0,0.2647058823529412,Normal,val,Normal_570,True,True,False,2,filter
Robbery_018,1.026154221199891,3.052699327468872,1.0,0.2647058823529412,Robbery,val,Robbery_018,True,True,False,2,filter
Robbery_109,1.0234224360217066,3.1356327533721924,1.0,0.2647058823529412,Robbery,val,Robbery_109,True,True,False,2,filter
