clip_id,mean_loss,max_loss,conf_error,error_freq,cls,split,video_id,rule_high_loss,rule_conf_error,rule_error_freq,n_rules_triggered,decision
Robbery_069,5.035960407818065,7.266393661499023,1.0,0.23529411764705882,Robbery,val,Robbery_069,True,True,False,2,filter
Robbery_007,4.863193953738493,7.101524829864502,1.0,0.23529411764705882,Robbery,val,Robbery_007,True,True,False,2,filter
Robbery_018,3.5035352251108955,6.004001140594482,1.0,0.23529411764705882,Robbery,val,Robbery_018,True,True,False,2,filter
Robbery_085,2.3193262570044575,6.316178798675537,1.0,0.23529411764705882,Robbery,val,Robbery_085,True,True,False,2,filter
Robbery_075,2.090098988593501,5.464097023010254,1.0,0.23529411764705882,Robbery,val,Robbery_075,True,True,False,2,filter
Robbery_137,1.9582571527537178,5.716400146484375,1.0,0.23529411764705882,Robbery,val,Robbery_137,True,True,False,2,filter
Robbery_129,1.1573245562065173,5.664366245269775,1.0,0.23529411764705882,Robbery,val,Robbery_129,True,True,False,2,filter
Robbery_146,1.025877017966088,5.6903815269470215,1.0,0.23529411764705882,Robbery,val,Robbery_146,True,True,False,2,filter
Normal_948,0.8747022148523041,3.6774778366088867,1.0,0.23529411764705882,Normal,val,Normal_948,True,True,False,2,filter
Normal_570,0.8100534059271655,4.3041276931762695,1.0,0.23529411764705882,Normal,val,Normal_570,True,True,False,2,filter
Normal_207,0.7791667526642627,3.1271626949310303,1.0,0.23529411764705882,Normal,val,Normal_207,True,True,False,2,filter
